	stage	ageInSamples	sizeAtAge	sdAtAge	n_bins	minima	maxima
1	autumn_eggs	NA	NA	NA	1	0	1
2	winter_eggs	NA	NA	NA	1	0	1
3	spring_fry	NA	NA	NA	1	0	1
4	zero_summer_parr	1	61.9	3	24	49.9	73.9
5	zero_autumn_parr	2	69	5.6	45	46.6	91.4
6	zero_winter_parr	3	71.8	6.6	53	45.4	98.2
7	one_spring_parr	4	74.5	7.7	62	43.7	105.3
8	one_summer_parr	5	106.8	9.9	79	67.2	146.4
9	one_autumn_parr	6	114.7	12.4	99	65.1	164.3
10	one_winter_parr	7	122.8	12.3	98	73.6	172
11	two_spring_parr	8	121.4	14.5	116	63.4	179.4
12	two_summer_parr	9	141.7	10.8	86	98.5	184.9
13	two_autumn_parr	10	144.8	11.8	94	97.6	192
14	two_winter_parr	11	149.3	11.9	95	101.7	196.9
15	three_spring_parr	12	150.6	12.1	97	102.2	199
16	three_summer_parr	13	163.1	11.4	91	117.5	208.7
17	three_autumn_parr	14	162.9	12.9	103	111.3	214.5
18	three_winter_parr	15	167.9	11.9	95	120.3	215.5
19	four_spring_parr	12	168.9	12.1	97	120.5	217.3
20	four_summer_parr	13	181.9	11.4	91	136.3	227.5
21	four_autumn_parr	14	182.9	12.9	103	131.3	234.5
22	four_winter_parr	15	183	12.9	103	131.4	234.6
23	one_summer_sea2	NA	NA	NA	1	0	1
24	one_summer_sea3	NA	NA	NA	1	0	1
25	one_summer_sea4	NA	NA	NA	1	0	1
26	one_autumn_sea2	NA	NA	NA	1	0	1
27	one_autumn_sea3	NA	NA	NA	1	0	1
28	one_autumn_sea4	NA	NA	NA	1	0	1
29	one_winter_sea2	NA	NA	NA	1	0	1
30	one_winter_sea3	NA	NA	NA	1	0	1
31	one_winter_sea4	NA	NA	NA	1	0	1
32	two_spring_sea2	NA	NA	NA	1	0	1
33	two_spring_sea3	NA	NA	NA	1	0	1
34	two_spring_sea4	NA	NA	NA	1	0	1
35	two_summer_sea2	NA	NA	NA	1	0	1
36	two_summer_sea3	NA	NA	NA	1	0	1
37	two_summer_sea4	NA	NA	NA	1	0	1
38	two_autumn_sea2	NA	NA	NA	1	0	1
39	two_autumn_sea3	NA	NA	NA	1	0	1
40	two_autumn_sea4	NA	NA	NA	1	0	1
41	two_winter_sea2	NA	NA	NA	1	0	1
42	two_winter_sea3	NA	NA	NA	1	0	1
43	two_winter_sea4	NA	NA	NA	1	0	1
44	three_spring_sea2	NA	NA	NA	1	0	1
45	three_spring_sea3	NA	NA	NA	1	0	1
46	three_spring_sea4	NA	NA	NA	1	0	1
47	three_summer_sea2	NA	NA	NA	1	0	1
48	three_summer_sea3	NA	NA	NA	1	0	1
49	three_summer_sea4	NA	NA	NA	1	0	1
50	three_autumn_sea2	NA	NA	NA	1	0	1
51	three_autumn_sea3	NA	NA	NA	1	0	1
52	three_autumn_sea4	NA	NA	NA	1	0	1
53	three_winter_sea2	NA	NA	NA	1	0	1
54	three_winter_sea3	NA	NA	NA	1	0	1
55	three_winter_sea4	NA	NA	NA	1	0	1
